script,wake_model,seed,method,turbine_id,x,y,AEP [GWh],Surrogate AEP [GWh],runtime_sec,wd_step_deg,n_wd,ws,random_pct
ResultsSS,NOJ,1,SmartStart,35,424239.05263157893,6147156.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,36,428561.8947368421,6147156.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,37,427564.3157894737,6150859.421052632,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,38,426899.2631578947,6148884.263157895,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,39,425901.6842105263,6148637.368421053,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,40,423574.0,6150118.736842105,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,41,423574.0,6149131.157894737,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,42,428894.4210526316,6149378.052631579,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,43,428229.36842105264,6148637.368421053,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,44,426899.2631578947,6150118.736842105,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,45,428229.36842105264,6151847.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,46,426234.2105263158,6148143.578947368,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,47,428894.4210526316,6147896.684210527,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,48,429559.4736842105,6147156.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,49,424571.5789473684,6149378.052631579,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,50,424904.1052631579,6151106.315789473,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,51,428894.4210526316,6150612.52631579,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,52,429892.0,6151847.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,53,427564.3157894737,6147156.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,54,426234.2105263158,6147649.7894736845,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,55,425236.63157894736,6151847.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,56,426899.2631578947,6150612.52631579,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,57,425236.63157894736,6149131.157894737,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,58,423574.0,6148637.368421053,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,59,428229.36842105264,6150365.631578947,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,60,428229.36842105264,6149378.052631579,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,61,427564.3157894737,6148390.47368421,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,62,426566.7368421053,6151600.105263158,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,63,424571.5789473684,6148143.578947368,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,64,423906.5263157895,6151106.315789473,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,65,425236.63157894736,6149871.842105263,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,66,423906.5263157895,6147156.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,67,428229.36842105264,6147156.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
