script,wake_model,seed,method,AEP [GWh],Surrogate AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec,iterations,wd_step_deg,n_wd,ws,source_file,opt_bin_label,random_step_schedule_D,plot_AEP [GWh],Optimization AEP [GWh],Fine AEP [GWh],eval_wd_step_deg,eval_n_wd,eval_ws_step,eval_ws_min,eval_ws_max,Fine minus Optimization AEP [GWh]
ResultsSS,NOJ,5,SS--2S--GB,714.8439713195794,72.61645666504026,12.978615569579231,26173.469150900022,2640,5,72,9.6,results_ss_summary_wd5deg_20260519_113744.csv,5 deg bins,,714.8439713195792,72.61645666504026,714.8439713195792,1,360,1,3,25,642.2275146545389
ResultsRS,NOJ,1,Current Horns Rev,70.47447376426608,,0.0,0.0,0,10,36,9.6,results_rs_summary_wd10deg_combined.csv,10 deg bins,"[(20, 1200), (5, 400), (1, 400)]",701.8653557500002,70.47447376426608,701.8653557500002,1,360,1,3,25,631.390881985734
ResultsRS,NOJ,1,RS,72.95206668644275,,2.477592922176669,1217.5584738000762,2000,10,36,9.6,results_rs_summary_wd10deg_combined.csv,10 deg bins,"[(20, 1200), (5, 400), (1, 400)]",714.3200249898538,72.95206668644275,714.3200249898538,1,360,1,3,25,641.367958303411
ResultsRS,NOJ,1,RS--2S,72.98502487593571,,2.510551111669628,8491.19167430012,2240,10,36,9.6,results_rs_summary_wd10deg_combined.csv,10 deg bins,"[(20, 1200), (5, 400), (1, 400)]",714.4799707839179,72.98502487593571,714.4799707839179,1,360,1,3,25,641.4949459079822
ResultsRS,NOJ,1,RS--2S--GB,73.06021838228185,,2.5857446180157666,8580.416366000078,2440,10,36,9.6,results_rs_summary_wd10deg_combined.csv,10 deg bins,"[(20, 1200), (5, 400), (1, 400)]",714.4934819786024,73.06021838228185,714.4934819786024,1,360,1,3,25,641.4332635963206
ResultsRS,NOJ,1,RS--GB,73.02252323933118,,2.548049475065099,1292.5958038001554,2200,10,36,9.6,results_rs_summary_wd10deg_combined.csv,10 deg bins,"[(20, 1200), (5, 400), (1, 400)]",714.3340244408937,73.02252323933118,714.3340244408937,1,360,1,3,25,641.3115012015626
ResultsRS,NOJ,2,Current Horns Rev,70.47447376426608,,0.0,0.0,0,10,36,9.6,results_rs_summary_wd10deg_combined.csv,10 deg bins,"[(20, 1200), (5, 400), (1, 400)]",701.8653557500002,70.47447376426608,701.8653557500002,1,360,1,3,25,631.390881985734
ResultsRS,NOJ,2,RS,72.95390537970664,,2.4794316154405607,1287.8764443000546,2000,10,36,9.6,results_rs_summary_wd10deg_combined.csv,10 deg bins,"[(20, 1200), (5, 400), (1, 400)]",714.3119354849334,72.95390537970664,714.3119354849334,1,360,1,3,25,641.3580301052268
ResultsRS,NOJ,2,RS--2S,73.02841290087781,,2.5539391366117314,10268.799852000084,2240,10,36,9.6,results_rs_summary_wd10deg_combined.csv,10 deg bins,"[(20, 1200), (5, 400), (1, 400)]",714.7475520274727,73.02841290087781,714.7475520274727,1,360,1,3,25,641.7191391265949
ResultsRS,NOJ,2,RS--2S--GB,73.09245587957692,,2.617982115310838,10307.134908200009,2440,10,36,9.6,results_rs_summary_wd10deg_combined.csv,10 deg bins,"[(20, 1200), (5, 400), (1, 400)]",714.7893999446937,73.09245587957692,714.7893999446937,1,360,1,3,25,641.6969440651168
ResultsRS,NOJ,2,RS--GB,73.01848476665238,,2.5440110023862985,1371.9870856001507,2200,10,36,9.6,results_rs_summary_wd10deg_combined.csv,10 deg bins,"[(20, 1200), (5, 400), (1, 400)]",714.3716685176867,73.01848476665238,714.3716685176867,1,360,1,3,25,641.3531837510343
ResultsRS,NOJ,3,Current Horns Rev,70.47447376426608,,0.0,0.0,0,10,36,9.6,results_rs_summary_wd10deg_combined.csv,10 deg bins,"[(20, 1200), (5, 400), (1, 400)]",701.8653557500002,70.47447376426608,701.8653557500002,1,360,1,3,25,631.390881985734
ResultsRS,NOJ,3,RS,73.07168535674205,,2.597211592475972,1035.1587649000576,2000,10,36,9.6,results_rs_summary_wd10deg_combined.csv,10 deg bins,"[(20, 1200), (5, 400), (1, 400)]",714.8382349776684,73.07168535674205,714.8382349776684,1,360,1,3,25,641.7665496209264
ResultsRS,NOJ,3,RS--2S,73.10065745465688,,2.626183690390804,6043.89416460006,2160,10,36,9.6,results_rs_summary_wd10deg_combined.csv,10 deg bins,"[(20, 1200), (5, 400), (1, 400)]",714.9279437124521,73.10065745465688,714.9279437124521,1,360,1,3,25,641.8272862577952
ResultsRS,NOJ,3,RS--2S--GB,73.16598356622828,,2.691509801962198,6153.233125900035,2360,10,36,9.6,results_rs_summary_wd10deg_combined.csv,10 deg bins,"[(20, 1200), (5, 400), (1, 400)]",714.9413021123394,73.16598356622828,714.9413021123394,1,360,1,3,25,641.7753185461111
ResultsRS,NOJ,3,RS--GB,73.16520266738738,,2.690728903121297,1223.591823499999,2200,10,36,9.6,results_rs_summary_wd10deg_combined.csv,10 deg bins,"[(20, 1200), (5, 400), (1, 400)]",714.8665377366141,73.16520266738738,714.8665377366141,1,360,1,3,25,641.7013350692267
