wake_model,seed,gradient_iterations,method,AEP [GWh],Improvement over Horns Rev [GWh],Improvement over SmartStart [GWh],runtime_sec,recorded_gradient_iterations,smartstart_seed,smartstart_random_pct,row_type,run_name,script,gradient_iterations_setting,iteration,phase,elapsed_sec,timing_source
NOJ,1,,,72.56059331554212,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,29.0,Gradient,42.770737596259835,interpolated_from_total_runtime
NOJ,1,,,72.56078217107182,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,30.0,Gradient,44.24559061682052,interpolated_from_total_runtime
NOJ,1,,,72.56168680792618,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,31.0,Gradient,45.7204436373812,interpolated_from_total_runtime
NOJ,1,,,72.56471341380404,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,32.0,Gradient,47.19529665794189,interpolated_from_total_runtime
NOJ,1,,,72.56602652503699,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,33.0,Gradient,48.670149678502575,interpolated_from_total_runtime
NOJ,1,,,72.56603659417456,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,34.0,Gradient,50.145002699063255,interpolated_from_total_runtime
NOJ,1,,,72.56608960501119,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,35.0,Gradient,51.61985571962394,interpolated_from_total_runtime
NOJ,1,,,72.56629141138515,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,36.0,Gradient,53.09470874018462,interpolated_from_total_runtime
NOJ,1,,,72.56648499460803,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,37.0,Gradient,54.56956176074531,interpolated_from_total_runtime
NOJ,1,,,72.56651675493076,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,38.0,Gradient,56.044414781305996,interpolated_from_total_runtime
NOJ,1,,,72.5665741172429,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,39.0,Gradient,57.519267801866675,interpolated_from_total_runtime
NOJ,1,,,72.56680750575742,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,40.0,Gradient,58.99412082242736,interpolated_from_total_runtime
